rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affair
4,27,9,2,2,14,2,5,1
4,27,6,0,3,12,5,2,1
2,22,2.5,0,3,14,3,2,1
3,27,9,2,3,17,4,6,1
4,27,6,2,1,14,3,4,1
5,22,2.5,1,1,12,2,2,1
4,27,16.5,4,3,12,2,6,1
2,27,6,1,2,14,4,3,1
2,32,6,1,1,17,4,4,1
5,27,6,2,2,16,4,3,1
4,42,23,3,3,17,4,4,1
4,32,9,2,1,16,4,6,1
3,42,23,4,3,14,4,3,1
5,27,6,2,1,12,5,2,1
2,42,23,4,4,20,4,5,1
3,32,6,0,2,20,4,5,1
5,27,2.5,0,2,14,3,2,1
2,42,16.5,3,3,12,3,5,1
4,37,23,3,2,12,5,4,1
3,27,2.5,0,2,17,4,4,1
3,32,13,3,3,20,4,6,1
3,27,2.5,0,2,14,3,4,1
3,42,16.5,2,1,16,3,5,1
4,22,2.5,0,2,14,5,5,1
5,27,6,0,3,14,3,5,1
3,22,2.5,0,1,12,2,4,1
4,27,6,0,3,14,2,4,1
3,27,9,2,2,16,3,4,1
2,27,9,1,2,14,2,2,1
3,22,2.5,0,3,12,3,3,1
4,32,16.5,4,4,14,3,5,1
5,32,2.5,2,2,14,3,4,1
4,27,2.5,0,2,14,3,5,1
5,32,9,3,3,16,4,4,1
3,32,13,2,2,12,3,5,1
3,32,16.5,3,3,12,3,2,1
5,42,23,2,2,14,5,5,1
3,27,16.5,4,3,14,4,2,1
3,32,16.5,4,2,20,4,4,1
4,22,2.5,2,2,14,5,2,1
5,27,6,0,1,12,3,4,1
4,37,16.5,3,4,16,5,5,1
3,22,2.5,0,2,12,3,5,1
4,32,13,2,2,14,3,5,1
5,42,23,5.5,3,17,4,4,1
2,27,6,2,3,12,2,2,1
5,22,2.5,1,2,16,3,6,1
3,42,23,2,3,12,2,2,1
5,42,23,3,1,14,3,5,1
4,22,2.5,0,3,12,3,4,1
3,27,9,1,4,14,5,5,1
2,37,23,3,3,12,2,4,1
3,32,9,3,3,14,4,5,1
5,37,16.5,4,3,12,3,4,1
3,27,9,2,2,12,5,2,1
3,27,6,1,2,17,2,2,1
5,22,2.5,0,3,14,3,3,1
5,27,6,0,2,17,4,5,1
4,22,2.5,0,2,12,4,2,1
4,27,6,0,2,12,3,4,1
3,32,9,1,2,12,3,3,1
1,42,23,4,3,12,3,5,1
2,22,6,2,2,12,3,4,1
4,32,16.5,2,2,12,2,2,1
4,32,13,3,3,14,2,2,1
5,27,9,2,1,12,3,3,1
3,42,23,3,2,12,3,2,1
3,37,16.5,1,3,20,6,6,1
5,32,13,2,1,12,5,2,1
4,27,13,3,1,12,4,2,1
2,37,13,0,2,14,3,5,1
3,27,9,1,1,12,2,2,1
5,27,6,0,1,14,5,5,1
2,42,23,2,3,12,5,2,1
5,27,6,0,2,16,3,4,1
4,22,2.5,0,4,16,5,4,1
5,22,2.5,0,2,16,4,4,1
5,42,13,0,3,12,3,2,1
4,22,2.5,1,1,16,3,4,1
4,32,9,1,3,16,3,5,1
4,27,9,2,2,12,4,2,1
5,27,6,0,1,16,5,2,1
4,32,16.5,3,2,14,5,4,1
2,42,2.5,0,4,20,6,5,1
2,42,23,5.5,4,14,3,6,1
4,42,23,4,2,12,3,2,1
3,22,2.5,0,3,16,5,5,1
2,22,2.5,0,3,14,3,5,1
4,22,2.5,0,3,14,3,3,1
4,32,16.5,4,3,14,4,4,1
5,32,13,2,4,17,4,5,1
4,32,13,3,4,12,3,5,1
5,27,9,2,1,14,4,4,1
4,27,6,1,4,16,3,4,1
4,27,9,2,3,12,2,4,1
1,37,16.5,3,2,17,4,4,1
3,27,9,3,2,12,4,5,1
2,27,6,0,2,14,3,4,1
3,22,2.5,1,2,14,2,2,1
4,22,2.5,1,3,12,3,4,1
4,27,2.5,0,2,14,4,4,1
1,42,23,2,3,12,3,5,1
5,27,6,2,4,14,5,5,1
5,27,6,0,1,12,4,2,1
4,37,23,2,3,12,3,5,1
4,22,6,2,2,12,3,4,1
1,32,13,1,3,14,3,1,1
5,22,6,1,1,16,3,5,1
5,27,6,0,1,14,3,5,1
5,27,6,1,1,17,4,5,1
4,37,16.5,1,2,14,2,5,1
4,27,9,2,2,12,2,2,1
4,42,23,4,1,12,3,4,1
4,32,13,0,3,12,2,2,1
5,32,13,2,3,12,2,2,1
4,42,23,4,1,17,4,4,1
4,37,23,4,2,14,4,3,1
4,32,16.5,2,2,14,3,6,1
4,27,13,4,3,12,2,4,1
5,37,23,3,2,12,3,2,1
2,32,13,0,3,9,6,2,1
5,32,13,2,1,14,4,6,1
4,27,6,1,2,14,4,2,1
5,27,2.5,0,3,20,4,5,1
2,42,23,3,3,14,4,2,1
3,27,6,0,1,14,3,2,1
4,27,6,1,2,12,3,4,1
2,22,2.5,0,3,12,3,3,1
3,27,2.5,0,3,12,2,2,1
4,42,23,2,2,17,5,2,1
5,32,13,2,1,14,2,5,1
5,32,13,0,1,12,5,4,1
4,27,9,2,2,16,4,5,1
5,42,23,4,3,17,4,4,1
3,27,9,3,1,16,4,5,1
5,42,13,0,2,14,5,3,1
5,32,16.5,2,2,16,5,5,1
1,42,23,2,1,12,3,3,1
4,27,6,0,1,12,3,4,1
5,42,23,3,2,12,5,4,1
4,27,9,2,3,16,4,5,1
2,32,13,3,3,20,4,5,1
4,22,2.5,0,2,12,3,2,1
3,32,16.5,3,2,12,3,2,1
5,27,6,1,3,12,5,2,1
3,27,2.5,0,1,12,3,4,1
5,22,2.5,0,2,16,4,6,1
3,32,13,0,2,16,4,5,1
4,37,16.5,2,2,20,4,2,1
4,27,6,1,2,17,4,5,1
4,37,23,4,2,12,3,2,1
4,22,2.5,2,2,14,3,5,1
3,27,6,1,3,17,4,4,1
4,32,16.5,3,4,12,3,5,1
5,22,6,2,3,14,3,5,1
4,32,13,2,3,14,3,2,1
4,27,9,1,1,14,2,5,1
3,32,16.5,2,2,12,3,4,1
4,27,13,2,2,12,3,2,1
5,27,9,1,3,12,2,3,1
3,27,9,0,1,12,3,4,1
4,27,9,0,3,14,5,6,1
3,22,2.5,0,1,12,3,2,1
3,32,13,2,3,20,4,5,1
4,42,23,5.5,2,14,5,3,1
5,22,2.5,0,2,16,3,4,1
5,27,9,1,2,14,4,5,1
5,37,13,2,3,14,4,3,1
5,27,2.5,1,3,16,3,3,1
4,27,6,0,2,14,3,2,1
5,22,2.5,0,2,12,4,4,1
5,27,6,1,3,12,2,3,1
4,32,9,2,2,16,5,5,1
4,32,6,2,3,14,4,2,1
2,22,2.5,1,2,17,2,2,1
5,27,2.5,0,2,17,5,5,1
5,37,16.5,3,2,14,4,4,1
3,27,2.5,1,3,14,5,3,1
4,27,6,1,1,14,3,4,1
5,27,6,2,3,12,2,4,1
4,42,23,3,2,12,3,2,1
3,27,6,2,3,14,3,5,1
5,22,6,1,3,14,1,4,1
5,37,23,3,2,12,3,4,1
3,37,16.5,3,3,12,3,4,1
4,42,23,4,2,9,4,4,1
4,42,23,3,3,12,3,5,1
4,37,23,2,2,16,4,6,1
5,32,16.5,4,1,12,2,1,1
4,27,6,2,3,14,2,6,1
3,32,16.5,2,2,12,2,2,1
2,27,6,1,2,12,3,2,1
4,22,2.5,0,1,14,3,4,1
3,22,6,1,2,14,3,2,1
2,27,6,0,3,12,3,3,1
4,27,6,1,2,12,2,5,1
3,22,2.5,1,1,12,5,5,1
2,37,16.5,3,2,14,3,5,1
5,32,13,2,2,16,4,2,1
5,22,2.5,0,1,12,3,2,1
4,22,6,1,3,14,4,1,1
4,22,0.5,0,2,12,5,2,1
3,27,2.5,0,2,20,4,4,1
5,27,2.5,0,3,12,2,2,1
4,22,2.5,0,3,14,3,2,1
4,42,16.5,2,1,16,4,5,1
5,32,13,1,2,12,5,2,1
5,32,13,3,3,14,3,5,1
5,32,2.5,0,3,14,4,2,1
3,32,13,1,1,16,4,5,1
5,42,23,2,3,14,5,6,1
4,27,6,1,1,14,3,2,1
3,37,16.5,4,3,12,2,5,1
5,37,16.5,2,2,12,2,4,1
2,32,9,1,2,12,3,3,1
2,32,13,0,2,14,5,4,1
4,22,0.5,0,1,12,3,4,1
4,22,6,0,1,12,3,4,1
3,37,16.5,3,3,12,2,2,1
3,27,2.5,0,2,17,4,5,1
3,22,2.5,0,2,17,5,4,1
4,32,16.5,2,2,14,3,4,1
4,42,16.5,2,3,17,5,6,1
4,32,16.5,5.5,3,12,2,2,1
3,32,13,2,3,14,2,2,1
4,42,23,2,2,20,4,5,1
3,32,9,1,2,16,4,3,1
4,22,2.5,0,2,14,3,2,1
3,37,16.5,3,3,12,3,3,1
3,42,23,3,1,14,3,4,1
1,32,16.5,3,3,12,4,2,1
2,37,16.5,5.5,2,12,2,5,1
5,32,9,0,3,12,3,5,1
2,32,16.5,4,2,14,3,5,1
3,22,2.5,0,2,17,4,1,1
5,32,2.5,0,2,16,5,5,1
3,27,6,1,1,17,4,5,1
4,27,6,0,1,17,4,1,1
3,37,16.5,2,2,14,4,2,1
4,37,16.5,2,1,14,3,3,1
5,42,23,2,3,14,3,4,1
4,32,13,2,1,17,4,2,1
3,27,9,0,1,14,3,5,1
3,32,13,2,1,12,3,6,1
3,27,6,2,3,17,4,6,1
2,37,16.5,3,2,12,2,4,1
2,22,6,2,1,14,3,4,1
3,17.5,2.5,1,3,12,4,2,1
3,27,6,3,2,14,2,2,1
3,22,2.5,0,1,12,2,5,1
4,42,23,3,2,14,3,5,1
2,27,6,2,3,14,3,3,1
4,32,16.5,5.5,2,14,3,2,1
4,27,2.5,0,3,12,3,5,1
4,27,6,2,3,12,3,2,1
4,27,2.5,0,3,16,4,5,1
5,27,6,0,1,16,4,5,1
2,22,6,2,2,12,2,3,1
3,27,2.5,0,1,20,4,4,1
4,32,16.5,3,3,14,3,5,1
5,32,13,1,3,17,4,4,1
3,22,2.5,1,2,12,2,4,1
4,22,2.5,0,1,14,3,3,1
5,32,9,2,3,16,4,4,1
5,32,2.5,0,3,14,5,4,1
5,27,9,2,1,14,2,4,1
4,32,9,1,2,14,5,5,1
4,22,2.5,0,2,14,3,5,1
4,42,23,1,3,12,3,3,1
4,27,9,2,2,16,4,4,1
4,32,16.5,3,2,17,4,2,1
4,27,6,2,2,16,4,5,1
4,37,16.5,2,2,14,4,5,1
5,27,6,1,3,16,4,4,1
2,27,6,1,2,12,2,2,1
4,22,2.5,1,1,12,2,2,1
3,37,13,1,2,12,3,2,1
4,42,23,2,2,14,3,5,1
5,22,2.5,0,1,14,3,2,1
3,42,23,2,1,17,4,6,1
4,32,16.5,2,3,12,3,4,1
1,32,16.5,3,3,14,3,4,1
5,27,13,2,3,12,3,2,1
3,27,6,0,1,17,5,4,1
5,42,23,5.5,2,14,4,4,1
4,32,16.5,1,3,16,4,5,1
2,22,2.5,0,1,12,3,2,1
2,42,23,1,3,14,4,2,1
2,22,6,0,2,12,3,4,1
4,27,6,0,1,16,5,1,1
4,42,23,1,4,17,3,2,1
5,42,23,2,1,12,3,2,1
4,27,6,2,2,16,4,2,1
3,22,2.5,0,1,12,3,2,1
3,27,13,3,2,14,5,5,1
4,32,13,2,2,14,4,5,1
4,27,9,3,3,14,4,3,1
3,32,9,1,2,14,3,4,1
3,27,9,2,1,14,4,2,1
5,37,16.5,5.5,3,12,2,2,1
3,27,6,1,4,14,3,5,1
2,27,9,1,1,14,5,3,1
4,27,2.5,0,2,17,4,6,1
4,32,13,1,1,20,4,4,1
1,42,23,4,3,12,3,4,1
4,32,16.5,1,1,14,5,5,1
1,42,23,5.5,2,12,2,2,1
4,37,13,1,2,12,3,5,1
4,32,16.5,2,2,14,5,5,1
4,42,23,3,2,14,4,4,1
5,27,6,1,3,14,3,6,1
3,37,16.5,4,3,12,3,2,1
3,37,23,3,3,9,4,2,1
4,37,16.5,2,2,12,3,4,1
3,27,6,2,1,14,4,5,1
4,37,13,0,3,12,3,2,1
2,27,2.5,1,3,16,4,4,1
4,42,23,5.5,3,12,5,5,1
3,32,16.5,3,2,12,2,2,1
4,37,16.5,3,2,12,5,2,1
3,42,13,0,3,12,4,4,1
4,37,13,4,3,14,4,2,1
2,32,16.5,4,2,14,5,4,1
3,27,13,2,1,14,4,4,1
5,22,2.5,0,2,14,4,5,1
4,22,2.5,1,2,14,4,5,1
3,32,2.5,0,1,16,4,5,1
5,27,6,2,3,14,3,5,1
5,32,16.5,3,4,12,2,3,1
2,42,23,2,3,16,4,5,1
5,22,6,2,3,14,2,4,1
5,42,23,2,1,14,4,5,1
4,22,6,0,2,14,3,3,1
3,32,16.5,4,3,14,3,4,1
3,32,16.5,2,2,14,3,5,1
4,42,16.5,1,3,17,4,5,1
1,37,16.5,3,2,12,3,5,1
3,32,13,1,3,20,4,4,1
3,27,2.5,0,3,14,5,5,1
5,22,2.5,2,1,14,5,4,1
3,42,23,5.5,3,12,3,2,1
4,27,9,2,3,12,2,2,1
3,32,16.5,2,3,12,2,4,1
4,32,16.5,3,2,14,3,4,1
3,27,2.5,2,2,16,4,4,1
4,32,6,2,2,14,4,4,1
1,42,23,2,1,12,2,3,1
4,22,2.5,0,2,16,5,1,1
3,22,6,0,2,12,3,4,1
2,42,23,5.5,3,17,4,4,1
3,27,13,2,2,12,2,4,1
4,27,9,2,3,12,2,2,1
5,32,16.5,3,3,17,4,4,1
5,32,16.5,2,1,14,4,6,1
5,32,16.5,3,3,14,2,5,1
3,27,9,2,2,12,2,3,1
2,27,6,1,3,12,4,4,1
4,22,2.5,2,2,12,5,2,1
5,27,6,2,4,20,4,4,1
3,22,2.5,0,2,14,3,2,1
2,32,9,0,1,16,5,4,1
4,37,16.5,2,3,16,3,6,1
4,42,23,2,3,12,3,2,1
5,22,2.5,0,3,14,3,4,1
5,32,9,1,2,14,2,4,1
4,37,16.5,2,3,12,3,6,1
3,22,2.5,0,3,12,3,4,1
4,37,16.5,4,2,12,3,5,1
4,27,2.5,0,3,17,4,1,1
3,27,6,0,1,14,3,5,1
5,32,16.5,2,2,20,4,4,1
2,22,2.5,1,2,12,5,5,1
4,42,16.5,2,1,14,5,4,1
5,42,13,3,4,14,2,2,1
5,32,13,1,3,16,6,6,1
5,37,13,0,1,14,4,5,1
2,22,6,0,1,20,6,4,1
4,22,2.5,0,2,12,3,4,1
4,32,16.5,1,2,12,3,4,1
4,27,6,2,2,12,2,2,1
2,37,16.5,2,2,12,3,3,1
3,22,6,2,3,12,3,2,1
4,27,13,2,2,16,4,5,1
4,22,6,1,2,12,2,5,1
4,17.5,0.5,0,3,14,3,4,1
5,27,2.5,0,2,17,5,1,1
5,27,9,1,3,14,3,4,1
2,22,2.5,1,3,12,2,2,1
4,42,23,5.5,3,9,2,4,1
3,32,16.5,3,3,14,4,5,1
4,37,13,1,1,12,5,5,1
2,32,16.5,3,2,12,3,5,1
4,32,13,2,2,14,2,5,1
4,22,2.5,0,2,14,1,1,1
5,22,2.5,0,2,12,3,2,1
4,32,16.5,3,2,12,4,2,1
4,37,16.5,3,2,12,3,3,1
5,42,23,4,3,14,5,5,1
5,27,9,2,1,9,3,4,1
5,32,9,0,2,17,3,2,1
2,42,23,3,4,12,4,5,1
4,42,23,2,3,12,3,2,1
5,27,6,0,3,14,3,4,1
4,22,6,0,3,14,3,3,1
2,32,16.5,5.5,2,12,3,2,1
4,22,2.5,1,2,14,2,4,1
5,37,23,4,3,12,3,3,1
4,32,13,3,2,12,3,5,1
4,32,16.5,2,2,12,3,4,1
4,27,6,1,2,17,3,5,1
2,27,13,2,3,12,5,5,1
4,37,16.5,2,2,14,4,5,1
4,27,6,0,4,16,4,6,1
4,37,23,3,3,12,5,3,1
3,27,2.5,0,1,14,4,6,1
3,27,9,1,2,12,3,4,1
2,37,23,4,2,12,5,2,1
3,37,23,3,3,12,2,2,1
3,32,13,2,3,17,4,4,1
2,37,16.5,4,3,12,2,4,1
4,27,9,2,3,12,3,3,1
4,42,23,3,3,12,2,2,1
5,42,23,3,3,14,3,5,1
2,27,6,0,2,12,3,5,1
1,27,2.5,0,2,16,3,1,1
5,32,16.5,2,1,12,3,3,1
4,32,16.5,3,2,14,4,5,1
3,22,6,0,2,12,2,2,1
3,27,2.5,2,2,14,4,4,1
3,42,23,1,3,14,3,2,1
5,42,23,4,2,14,3,5,1
1,27,6,2,2,14,2,3,1
4,32,13,2,2,12,2,5,1
4,32,13,2,1,12,5,5,1
5,32,16.5,3,2,12,2,4,1
5,42,23,2,1,20,4,3,1
4,27,9,2,2,12,3,4,1
4,37,16.5,3,3,16,3,2,1
5,37,16.5,5.5,1,16,4,4,1
3,42,9,2,1,12,4,4,1
4,27,6,1,3,14,4,3,1
3,27,9,2,3,12,2,4,1
4,27,6,2,2,16,5,5,1
4,37,16.5,4,3,14,4,5,1
4,32,16.5,3,3,14,3,4,1
4,27,6,1,2,16,3,5,1
5,42,23,2,2,12,4,4,1
4,32,13,1,3,14,3,2,1
2,27,6,1,2,12,3,2,1
3,22,2.5,0,2,12,3,4,1
3,27,6,0,2,17,2,4,1
5,37,23,4,2,12,3,5,1
3,32,16.5,3,4,12,5,4,1
4,22,2.5,0,2,12,2,2,1
2,22,6,2,3,12,5,3,1
4,27,9,2,3,14,3,2,1
4,22,2.5,0,1,20,6,5,1
3,42,23,5.5,4,12,2,5,1
3,42,23,3,2,20,6,5,1
3,22,2.5,1,3,12,3,2,1
4,32,9,2,2,14,3,5,1
3,32,16.5,1,3,12,3,4,1
3,27,6,2,1,14,3,3,1
3,27,6,1,3,14,3,4,1
4,37,16.5,3,1,14,5,5,1
4,32,13,2,2,16,5,6,1
3,22,2.5,0,1,17,4,4,1
3,27,6,0,3,14,3,4,1
3,42,23,3,2,14,5,6,1
5,32,13,3,3,14,2,2,1
5,27,2.5,1,2,14,3,4,1
3,27,9,3,1,14,3,4,1
2,22,2.5,0,2,12,3,4,1
1,42,23,5.5,2,12,5,5,1
3,22,2.5,0,1,14,2,4,1
4,27,2.5,0,1,17,5,6,1
5,27,6,0,2,16,3,5,1
3,27,6,1,2,14,4,4,1
2,42,23,1,1,14,3,4,1
4,27,6,0,4,14,3,4,1
3,22,6,1,1,14,3,4,1
5,22,2.5,0,2,14,3,5,1
3,27,2.5,4,2,14,3,2,1
4,27,6,3,2,14,2,4,1
3,32,16.5,2,3,14,3,5,1
5,22,2.5,0,3,14,3,6,1
5,32,13,1,2,14,3,5,1
5,22,2.5,0,3,12,3,2,1
3,32,13,2,1,14,3,5,1
1,37,23,4,2,12,2,2,1
2,22,2.5,1,3,14,4,4,1
4,42,23,3,4,12,3,4,1
4,27,6,2,2,14,5,5,1
5,37,16.5,2,4,16,3,4,1
4,22,6,0,3,12,3,3,1
3,32,16.5,3,2,14,5,3,1
4,27,9,3,3,12,3,4,1
5,27,6,0,1,16,4,4,1
2,22,6,3,3,12,3,2,1
5,22,2.5,0,1,16,4,5,1
5,42,23,4,4,14,1,6,1
4,32,9,1,1,16,4,5,1
4,22,2.5,2,3,12,2,2,1
3,42,23,5.5,3,14,3,5,1
3,22,2.5,1,1,12,5,4,1
5,27,9,2,2,17,2,2,1
3,22,2.5,0,1,12,2,4,1
4,32,13,1,2,12,3,3,1
4,37,16.5,1,2,12,3,4,1
5,32,9,3,2,17,4,6,1
4,27,9,1,2,12,2,3,1
3,27,2.5,1,3,14,3,2,1
2,22,2.5,1,2,16,4,3,1
1,42,16.5,5.5,3,14,5,5,1
3,27,13,2,2,9,2,4,1
4,42,23,3,4,14,3,2,1
3,27,9,2,2,12,3,4,1
3,27,6,2,2,14,3,1,1
5,27,2.5,0,3,14,3,2,1
3,27,2.5,0,3,16,3,5,1
3,22,2.5,0,3,16,4,2,1
3,42,23,3,1,12,3,3,1
5,42,23,2,2,12,2,5,1
4,27,2.5,0,1,17,4,4,1
5,27,6,0,2,14,3,5,1
4,32,16.5,4,2,14,4,4,1
4,27,6,0,3,12,3,2,1
4,32,9,2,2,14,3,4,1
3,27,9,2,1,14,3,4,1
3,27,2.5,1,2,16,2,2,1
5,27,13,2,2,9,2,4,1
2,27,13,2,2,12,3,4,1
3,42,16.5,4,2,14,3,5,1
3,32,9,2,1,14,3,2,1
5,32,13,0,2,12,3,5,1
1,27,9,2,2,12,2,4,1
3,32,13,3,2,12,3,2,1
5,27,2.5,0,3,14,5,5,1
4,32,6,1,1,16,4,4,1
5,27,13,3,1,14,3,4,1
5,27,2.5,0,3,20,6,6,1
5,32,16.5,4,2,12,2,4,1
4,37,13,0,2,12,3,3,1
3,22,2.5,0,3,16,4,4,1
5,37,13,2,4,17,4,6,1
4,22,2.5,2,1,12,3,4,1
1,42,16.5,2,4,16,5,2,1
3,37,16.5,3,3,17,4,4,1
4,22,2.5,0,3,17,3,4,1
5,32,13,2,2,20,4,2,1
3,37,16.5,2,3,17,4,5,1
4,32,16.5,4,3,12,2,4,1
4,32,16.5,2,2,14,3,5,1
5,37,16.5,2,4,17,3,3,1
3,27,9,2,1,12,3,5,1
3,42,23,3,3,9,3,5,1
4,32,9,2,1,20,4,5,1
4,22,6,2,2,12,3,3,1
1,32,13,2,2,16,6,5,1
4,22,2.5,0,1,12,2,2,1
4,27,9,2,1,12,3,4,1
3,27,6,0,2,14,4,5,1
4,32,13,4,2,12,3,5,1
5,42,23,3,4,12,2,4,1
2,37,16.5,3,1,14,3,4,1
3,32,9,0,2,14,3,5,1
4,37,16.5,2,3,14,3,6,1
1,32,16.5,4,3,12,3,5,1
3,37,16.5,1,3,14,3,5,1
4,22,2.5,0,3,14,4,5,1
4,22,6,2,2,12,2,2,1
3,22,2.5,1,3,12,3,2,1
5,27,6,1,3,16,4,1,1
5,27,9,2,2,20,6,5,1
4,22,6,1,2,12,5,4,1
1,32,16.5,3,1,20,4,2,1
5,22,2.5,0,2,16,4,4,1
4,42,16.5,3,2,14,3,5,1
4,32,13,2,4,16,4,6,1
4,32,9,2,2,16,4,5,1
2,42,23,4,1,12,3,4,1
3,42,16.5,2,2,14,4,4,1
4,42,16.5,1,3,14,4,5,1
4,32,13,3,2,16,4,5,1
4,27,2.5,0,2,14,5,5,1
4,27,6,1,1,14,3,4,1
5,27,6,0,2,14,3,5,1
4,27,6,0,3,20,6,6,1
5,27,6,0,2,14,3,4,1
4,27,6,2,2,12,4,4,1
4,42,23,1,3,14,3,4,1
5,22,6,1,3,12,3,3,1
3,37,16.5,3,3,14,4,5,1
4,27,9,2,3,14,4,4,1
4,42,13,0,3,12,2,4,1
4,27,2.5,0,2,14,3,5,1
2,32,13,3,2,16,4,2,1
4,37,16.5,4,2,12,5,5,1
2,22,2.5,0,2,16,2,5,1
5,42,23,1,3,12,5,2,1
3,27,6,2,1,16,4,5,1
3,22,2.5,0,2,14,3,5,1
4,32,9,2,1,14,3,5,1
4,27,9,1,1,14,3,5,1
5,27,6,0,3,12,3,4,1
4,37,13,2,3,17,4,6,1
3,42,23,2,2,14,3,4,1
5,22,2.5,0,1,17,5,1,1
2,37,23,5.5,2,14,3,5,1
4,32,2.5,0,2,12,3,2,1
4,27,2.5,0,3,12,3,3,1
2,27,2.5,0,2,14,3,5,1
3,22,2.5,0,3,14,3,6,1
3,42,23,5.5,2,12,4,2,1
3,37,16.5,3,3,14,3,3,1
